Date,Price,Open,High,Low,Vol.,Change %
07/22/2025,1.1773,1.17544,1.17752,1.1711,,
07/23/2025,1.17491,1.17702,1.17888,1.17306,,
07/24/2025,1.17417,1.17394,1.1761,1.1703,,
07/27/2025,1.15887,1.17558,1.17706,1.15853,,
07/28/2025,1.15454,1.15912,1.15994,1.1519,,
07/29/2025,1.14055,1.15474,1.15728,1.1401,,
07/30/2025,1.14148,1.14066,1.14608,1.14033,,
07/31/2025,1.15874,1.14172,1.15971,1.13916,,
08/03/2025,1.15726,1.15924,1.1597,1.15496,,
08/04/2025,1.15752,1.15704,1.1588,1.15278,,
08/05/2025,1.16602,1.15742,1.16686,1.15643,,
08/06/2025,1.1664,1.16577,1.16988,1.1611,,
08/07/2025,1.16416,1.16654,1.16794,1.1629,,
08/10/2025,1.1616,1.16496,1.16756,1.15902,,
08/11/2025,1.16732,1.16147,1.16974,1.15988,,
08/12/2025,1.17052,1.16804,1.17303,1.16692,,
08/13/2025,1.16488,1.17058,1.17153,1.1631,,
08/14/2025,1.1705,1.16502,1.17154,1.16462,,
08/17/2025,1.16612,1.17133,1.17162,1.1656,,
08/18/2025,1.16465,1.16617,1.16929,1.16392,,
08/19/2025,1.16502,1.16482,1.16739,1.16222,,
08/20/2025,1.16064,1.16531,1.16629,1.16012,,
08/21/2025,1.1722,1.16066,1.17428,1.1583,,
08/24/2025,1.16204,1.17236,1.17284,1.16028,,
08/25/2025,1.16408,1.16189,1.16654,1.16022,,
08/26/2025,1.16376,1.16457,1.1648,1.1574,,
08/27/2025,1.16825,1.16376,1.16975,1.1629,,
08/28/2025,1.16858,1.16824,1.1709,1.16508,,
08/31/2025,1.17114,1.1696,1.17365,1.16868,,
09/01/2025,1.16423,1.17094,1.17183,1.1613,,
09/02/2025,1.16612,1.16422,1.16822,1.16082,,
09/03/2025,1.16507,1.16618,1.16696,1.163,,
09/04/2025,1.1718,1.16494,1.17596,1.1648,,
09/07/2025,1.17633,1.1714,1.17658,1.17036,,
09/08/2025,1.1711,1.17619,1.17801,1.17039,,
09/09/2025,1.16939,1.17096,1.1731,1.16825,,
09/10/2025,1.17355,1.16954,1.17461,1.16606,,
09/11/2025,1.17368,1.17333,1.17478,1.1701,,
09/14/2025,1.17609,1.17331,1.17746,1.17162,,
09/15/2025,1.18668,1.17634,1.18784,1.17574,,
09/16/2025,1.18127,1.18606,1.19188,1.18078,,
09/17/2025,1.1786,1.18127,1.18484,1.17501,,
09/18/2025,1.17472,1.17889,1.17928,1.17288,,
09/21/2025,1.18025,1.17385,1.18032,1.17262,,
09/22/2025,1.18148,1.1798,1.182,1.1779,,
09/23/2025,1.1738,1.18139,1.18194,1.17282,,
09/24/2025,1.1666,1.17395,1.1754,1.16456,,
09/25/2025,1.17002,1.16615,1.17074,1.16582,,
09/28/2025,1.17267,1.1703,1.17546,1.1702,,
09/29/2025,1.17336,1.1727,1.17618,1.17122,,
09/30/2025,1.17312,1.17356,1.17787,1.17155,,
10/01/2025,1.17165,1.17308,1.17584,1.16832,,
10/02/2025,1.17429,1.17146,1.17594,1.17146,,
10/05/2025,1.17136,1.17266,1.17309,1.16518,,
10/06/2025,1.16585,1.17102,1.17155,1.16477,,
10/07/2025,1.1628,1.16568,1.16614,1.15984,,
10/08/2025,1.15648,1.1627,1.16483,1.1542,,
10/09/2025,1.16224,1.1561,1.16308,1.1557,,
10/12/2025,1.15707,1.16114,1.16299,1.15575,,
10/13/2025,1.16079,1.15704,1.16152,1.15424,,
10/14/2025,1.16466,1.16078,1.16478,1.16019,,
10/15/2025,1.16877,1.16458,1.16942,1.1643,,
10/16/2025,1.16511,1.16857,1.17285,1.16502,,
